,Player Team,Player Name,Tries,Metres carried,Carries,Defenders beaten,Clean breaks,Passes,Offloads,Turnovers conceded,Try assists,Points,Tackles,Missed tackles,Turnovers won,Kicks in play,Conversions,Penalty goals,Drop goals,Throws won,Lineouts won,Lineout steals,Penalties conceded,Red cards,Yellow cards,Round N,Minutes Played,Tries per 80,Tries mean (per 80),Tries std (per 80),Tries std from mean,Tries Percentile,Tries per 80 Percentile,Metres carried per 80,Metres carried mean (per 80),Metres carried std (per 80),Metres carried std from mean,Metres carried Percentile,Metres carried per 80 Percentile,Carries per 80,Carries mean (per 80),Carries std (per 80),Carries std from mean,Carries Percentile,Carries per 80 Percentile,Defenders beaten per 80,Defenders beaten mean (per 80),Defenders beaten std (per 80),Defenders beaten std from mean,Defenders beaten Percentile,Defenders beaten per 80 Percentile,Clean breaks per 80,Clean breaks mean (per 80),Clean breaks std (per 80),Clean breaks std from mean,Clean breaks Percentile,Clean breaks per 80 Percentile,Passes per 80,Passes mean (per 80),Passes std (per 80),Passes std from mean,Passes Percentile,Passes per 80 Percentile,Offloads per 80,Offloads mean (per 80),Offloads std (per 80),Offloads std from mean,Offloads Percentile,Offloads per 80 Percentile,Turnovers conceded per 80,Turnovers conceded mean (per 80),Turnovers conceded std (per 80),Turnovers conceded std from mean,Turnovers conceded Percentile,Turnovers conceded per 80 Percentile,Try assists per 80,Try assists mean (per 80),Try assists std (per 80),Try assists std from mean,Try assists Percentile,Try assists per 80 Percentile,Points per 80,Points mean (per 80),Points std (per 80),Points std from mean,Points Percentile,Points per 80 Percentile,Tackles per 80,Tackles mean (per 80),Tackles std (per 80),Tackles std from mean,Tackles Percentile,Tackles per 80 Percentile,Missed tackles per 80,Missed tackles mean (per 80),Missed tackles std (per 80),Missed tackles std from mean,Missed tackles Percentile,Missed tackles per 80 Percentile,Turnovers won per 80,Turnovers won mean (per 80),Turnovers won std (per 80),Turnovers won std from mean,Turnovers won Percentile,Turnovers won per 80 Percentile,Kicks in play per 80,Kicks in play mean (per 80),Kicks in play std (per 80),Kicks in play std from mean,Kicks in play Percentile,Kicks in play per 80 Percentile,Conversions per 80,Conversions mean (per 80),Conversions std (per 80),Conversions std from mean,Conversions Percentile,Conversions per 80 Percentile,Penalty goals per 80,Penalty goals mean (per 80),Penalty goals std (per 80),Penalty goals std from mean,Penalty goals Percentile,Penalty goals per 80 Percentile,Drop goals per 80,Drop goals mean (per 80),Drop goals std (per 80),Drop goals std from mean,Drop goals Percentile,Drop goals per 80 Percentile,Throws won per 80,Throws won mean (per 80),Throws won std (per 80),Throws won std from mean,Throws won Percentile,Throws won per 80 Percentile,Lineouts won per 80,Lineouts won mean (per 80),Lineouts won std (per 80),Lineouts won std from mean,Lineouts won Percentile,Lineouts won per 80 Percentile,Penalties conceded per 80,Penalties conceded mean (per 80),Penalties conceded std (per 80),Penalties conceded std from mean,Penalties conceded Percentile,Penalties conceded per 80 Percentile
0,AJ Lam (Blues),AJ Lam,0,357,45,15,6,28,10,7,1,0,25,4,1,6,0,0,0,0,1,0,2,0,0,95.0,354.0,0.0,0.2427437440645509,0.25023187612731074,-0.9700752271107536,0.16164383561643836,0.16164383561643836,80.67796610169492,30.83415571275694,20.923911228263297,2.3821459499221485,0.7780821917808219,0.9780821917808219,10.169491525423728,7.797377258368616,2.465986048720023,0.9619333687172985,0.4657534246575342,0.8301369863013699,3.389830508474576,1.4527150527643213,1.204645806789429,1.608037354044317,0.7589041095890411,0.9232876712328767,1.3559322033898304,0.3707740961064179,0.4041869143499797,2.43738248891051,0.8452054794520548,0.9726027397260274,6.327683615819209,10.976165421568483,19.228511048975523,-0.24174944143670138,0.4684931506849315,0.6876712328767123,2.2598870056497176,0.5707312747625213,0.5205083551610629,3.245203874517085,0.8931506849315068,0.9917808219178083,1.5819209039548023,0.9644392862075037,0.5372944483448014,1.1492425050166126,0.6082191780821918,0.873972602739726,0.22598870056497175,0.1728663120922037,0.28900859919446986,0.18380902374819208,0.6136986301369863,0.7328767123287672,0.0,1.7117717406857083,2.143284884661082,-0.7986673880529843,0.14794520547945206,0.14794520547945206,5.649717514124294,9.600467460611016,3.999466373790104,-0.9878192681847163,0.13287671232876713,0.18356164383561643,0.903954802259887,1.6309385278244561,0.7776381987400253,-0.9348611304620459,0.12191780821917808,0.1506849315068493,0.22598870056497175,0.42463003529708165,0.37308711479861606,-0.5324261462080565,0.27123287671232876,0.3287671232876712,1.3559322033898304,1.3785938115357095,2.3983740173251062,-0.009448738179357614,0.6808219178082192,0.7342465753424657,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,0.22598870056497175,0.8112831118797657,1.4630799451597467,-0.4000426724808181,0.5821917808219178,0.6465753424657534,0.4519774011299435,0.7482375268840392,0.6147316117070859,-0.4819340995518236,0.25205479452054796,0.37397260273972605
1,Aaron Smith (Highlanders),Aaron Smith,3,107,23,8,1,507,2,5,13,15,43,17,4,46,0,0,0,1,0,0,1,0,0,81.0,593.0,0.40472175379426645,0.2427437440645509,0.25023187612731074,0.6473116544404831,0.7684931506849315,0.7808219178082192,14.435075885328835,30.83415571275694,20.923911228263297,-0.7837482987060657,0.3643835616438356,0.273972602739726,3.102866779089376,7.797377258368616,2.465986048720023,-1.9037052061652737,0.16986301369863013,0.024657534246575342,1.0792580101180438,1.4527150527643213,1.204645806789429,-0.3100139813225262,0.5328767123287671,0.4575342465753425,0.13490725126475547,0.3707740961064179,0.4041869143499797,-0.5835588349538419,0.4095890410958904,0.3698630136986301,68.39797639123103,10.976165421568483,19.228511048975523,2.9862848362729535,0.9671232876712329,0.9424657534246575,0.26981450252951095,0.5707312747625213,0.5205083551610629,-0.5781209259165427,0.40821917808219177,0.3452054794520548,0.6745362563237773,0.9644392862075037,0.5372944483448014,-0.5395608139574244,0.42876712328767125,0.30684931506849317,1.7537942664418213,0.1728663120922037,0.28900859919446986,5.470176177304099,1.0,0.9972602739726028,2.0236087689713322,1.7117717406857083,2.143284884661082,0.1454949038820543,0.7027397260273973,0.7013698630136986,5.801011804384486,9.600467460611016,3.999466373790104,-0.9499906490340027,0.3493150684931507,0.19726027397260273,2.2934232715008434,1.6309385278244561,0.7776381987400253,0.8519189833392747,0.8095890410958904,0.8410958904109589,0.5396290050590219,0.42463003529708165,0.37308711479861606,0.3082362408147332,0.7136986301369863,0.7150684931506849,6.205733558178752,1.3785938115357095,2.3983740173251062,2.0126717983822746,0.9219178082191781,0.9397260273972603,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.13490725126475547,0.9013587447007101,3.143367259327104,-0.24383135351483803,0.8438356164383561,0.8684931506849315,0.0,0.8112831118797657,1.4630799451597467,-0.5545036103896466,0.2534246575342466,0.2534246575342466,0.13490725126475547,0.7482375268840392,0.6147316117070859,-0.9977204099136684,0.13150684931506848,0.10410958904109589
2,Abraham Pole (Moana Pasifika),Abraham Pole,4,124,46,8,1,12,0,8,1,20,54,13,1,0,0,0,0,0,2,0,13,0,0,99.0,566.0,0.5653710247349824,0.2427437440645509,0.25023187612731074,1.2893132788018102,0.852054794520548,0.8849315068493151,17.526501766784452,30.83415571275694,20.923911228263297,-0.6360022177878946,0.41643835616438357,0.336986301369863,6.501766784452297,7.797377258368616,2.465986048720023,-0.5253924589674016,0.4767123287671233,0.32054794520547947,1.1307420494699647,1.4527150527643213,1.204645806789429,-0.26727607524112457,0.5328767123287671,0.4849315068493151,0.1413427561837456,0.3707740961064179,0.4041869143499797,-0.5676367338404503,0.4095890410958904,0.3780821917808219,1.696113074204947,10.976165421568483,19.228511048975523,-0.4826193938639866,0.14931506849315068,0.057534246575342465,0.0,0.5707312747625213,0.5205083551610629,-1.0964882102342386,0.0821917808219178,0.0821917808219178,1.1307420494699647,0.9644392862075037,0.5372944483448014,0.30951885651299044,0.684931506849315,0.6876712328767123,0.1413427561837456,0.1728663120922037,0.28900859919446986,-0.10907480260560123,0.6136986301369863,0.6191780821917808,2.8268551236749118,1.7117717406857083,2.143284884661082,0.5202683931424879,0.7849315068493151,0.8082191780821918,7.6325088339222615,9.600467460611016,3.999466373790104,-0.492055300073398,0.4589041095890411,0.3315068493150685,1.8374558303886925,1.6309385278244561,0.7776381987400253,0.2655699050006131,0.6465753424657534,0.684931506849315,0.1413427561837456,0.42463003529708165,0.37308711479861606,-0.7593059847865508,0.27123287671232876,0.2136986301369863,0.0,1.3785938115357095,2.3983740173251062,-0.5748035133707994,0.20821917808219179,0.20821917808219179,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,0.2826855123674912,0.8112831118797657,1.4630799451597467,-0.3612909884118188,0.678082191780822,0.6767123287671233,1.8374558303886925,0.7482375268840392,0.6147316117070859,1.7718599186398372,0.963013698630137,0.9424657534246575
3,Adrian Choat (Blues),Adrian Choat,0,143,49,7,0,22,1,4,0,0,133,9,7,0,0,0,0,0,2,0,6,0,0,97.0,699.0,0.0,0.2427437440645509,0.25023187612731074,-0.9700752271107536,0.16164383561643836,0.16164383561643836,16.36623748211731,30.83415571275694,20.923911228263297,-0.6914538143851836,0.4657534246575342,0.3095890410958904,5.608011444921316,7.797377258368616,2.465986048720023,-0.8878257095508292,0.5082191780821917,0.18904109589041096,0.8011444921316166,1.4527150527643213,1.204645806789429,-0.5408814416324106,0.4849315068493151,0.3232876712328767,0.0,0.3707740961064179,0.4041869143499797,-0.91733325088642,0.1589041095890411,0.1589041095890411,2.5178826895565094,10.976165421568483,19.228511048975523,-0.439882355449598,0.363013698630137,0.16986301369863013,0.11444921316165951,0.5707312747625213,0.5205083551610629,-0.8766085252554163,0.2547945205479452,0.1917808219178082,0.45779685264663805,0.9644392862075037,0.5372944483448014,-0.9429511790446321,0.33013698630136984,0.1726027397260274,0.0,0.1728663120922037,0.28900859919446986,-0.5981355315171241,0.26164383561643834,0.26164383561643834,0.0,1.7117717406857083,2.143284884661082,-0.7986673880529843,0.14794520547945206,0.14794520547945206,15.221745350500715,9.600467460611016,3.999466373790104,1.4055069763126127,0.9452054794520548,0.915068493150685,1.0300429184549356,1.6309385278244561,0.7776381987400253,-0.7727187403385362,0.436986301369863,0.2136986301369863,0.8011444921316166,0.42463003529708165,0.37308711479861606,1.0091864390378877,0.9041095890410958,0.8575342465753425,0.0,1.3785938115357095,2.3983740173251062,-0.5748035133707994,0.20821917808219179,0.20821917808219179,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,0.22889842632331903,0.8112831118797657,1.4630799451597467,-0.39805390503993193,0.678082191780822,0.6493150684931507,0.6866952789699571,0.7482375268840392,0.6147316117070859,-0.10011238521341322,0.684931506849315,0.547945205479452
4,Aidan Morgan (Hurricanes),Aidan Morgan,2,439,75,18,3,148,6,14,2,12,36,14,4,51,1,0,0,0,0,0,3,0,0,85.0,689.0,0.23222060957910015,0.2427437440645509,0.25023187612731074,-0.04205353310022295,0.6315068493150685,0.5671232876712329,50.97242380261248,30.83415571275694,20.923911228263297,0.9624523766213205,0.8410958904109589,0.8301369863013699,8.708272859216255,7.797377258368616,2.465986048720023,0.3693839230438636,0.7136986301369863,0.6410958904109589,2.0899854862119014,1.4527150527643213,1.204645806789429,0.5290106269045224,0.815068493150685,0.7671232876712328,0.3483309143686502,0.3707740961064179,0.4041869143499797,-0.055526740082274116,0.6657534246575343,0.5945205479452055,17.18432510885341,10.976165421568483,19.228511048975523,0.32286221598087245,0.8972602739726028,0.8821917808219178,0.6966618287373004,0.5707312747625213,0.5205083551610629,0.24193762256863674,0.7561643835616438,0.6684931506849315,1.625544267053701,0.9644392862075037,0.5372944483448014,1.2304332994372242,0.8863013698630137,0.8821917808219178,0.23222060957910015,0.1728663120922037,0.28900859919446986,0.20537208115028355,0.7602739726027398,0.7397260273972602,1.3933236574746009,1.7117717406857083,2.143284884661082,-0.14857944713283583,0.6493150684931507,0.5698630136986301,4.179970972423803,9.600467460611016,3.999466373790104,-1.3553049286048795,0.2589041095890411,0.10136986301369863,1.625544267053701,1.6309385278244561,0.7776381987400253,-0.006936722989553762,0.6972602739726027,0.5972602739726027,0.4644412191582003,0.42463003529708165,0.37308711479861606,0.10670747469423547,0.7136986301369863,0.6410958904109589,5.921625544267054,1.3785938115357095,2.3983740173251062,1.8942132044101128,0.9452054794520548,0.9342465753424658,0.11611030478955008,0.15927414486053937,0.5726855168389288,-0.07537093012102379,0.9068493150684932,0.9068493150684932,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,0.0,0.8112831118797657,1.4630799451597467,-0.5545036103896466,0.2534246575342466,0.2534246575342466,0.3483309143686502,0.7482375268840392,0.6147316117070859,-0.6505385519460498,0.3821917808219178,0.2876712328767123
5,Aidan Ross (Chiefs),Aidan Ross,0,60,45,3,0,14,0,3,0,0,105,6,0,0,0,0,0,0,1,0,14,0,0,108.0,673.0,0.0,0.2427437440645509,0.25023187612731074,-0.9700752271107536,0.16164383561643836,0.16164383561643836,7.132243684992571,30.83415571275694,20.923911228263297,-1.1327668029746105,0.20821917808219179,0.07671232876712329,5.349182763744428,7.797377258368616,2.465986048720023,-0.9927852170513822,0.4657534246575342,0.16164383561643836,0.3566121842496285,1.4527150527643213,1.204645806789429,-0.9098963880810573,0.2356164383561644,0.15616438356164383,0.0,0.3707740961064179,0.4041869143499797,-0.91733325088642,0.1589041095890411,0.1589041095890411,1.664190193164933,10.976165421568483,19.228511048975523,-0.48427957862601556,0.2,0.049315068493150684,0.0,0.5707312747625213,0.5205083551610629,-1.0964882102342386,0.0821917808219178,0.0821917808219178,0.3566121842496285,0.9644392862075037,0.5372944483448014,-1.131273743531797,0.23424657534246576,0.1232876712328767,0.0,0.1728663120922037,0.28900859919446986,-0.5981355315171241,0.26164383561643834,0.26164383561643834,0.0,1.7117717406857083,2.143284884661082,-0.7986673880529843,0.14794520547945206,0.14794520547945206,12.481426448736999,9.600467460611016,3.999466373790104,0.7203358445531409,0.8479452054794521,0.7506849315068493,0.713224368499257,1.6309385278244561,0.7776381987400253,-1.1801299895145752,0.236986301369863,0.06575342465753424,0.0,0.42463003529708165,0.37308711479861606,-1.1381525076959231,0.07671232876712329,0.07671232876712329,0.0,1.3785938115357095,2.3983740173251062,-0.5748035133707994,0.20821917808219179,0.20821917808219179,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,0.1188707280832095,0.8112831118797657,1.4630799451597467,-0.47325669802749903,0.5821917808219178,0.5671232876712329,1.664190193164933,0.7482375268840392,0.6147316117070859,1.4900041722880146,0.9753424657534246,0.9260273972602739
6,Akira Ioane (Blues),Akira Ioane,1,185,64,15,3,29,4,3,1,5,73,5,4,0,0,0,0,0,10,0,7,0,0,118.0,481.0,0.16632016632016633,0.2427437440645509,0.25023187612731074,-0.3054110408599681,0.436986301369863,0.44794520547945205,30.76923076923077,30.83415571275694,20.923911228263297,-0.0031029066610868796,0.5547945205479452,0.5917808219178082,10.644490644490645,7.797377258368616,2.465986048720023,1.154553728152611,0.6520547945205479,0.873972602739726,2.494802494802495,1.4527150527643213,1.204645806789429,0.8650571281325429,0.7589041095890411,0.8438356164383561,0.498960498960499,0.3707740961064179,0.4041869143499797,0.3171463456708702,0.6657534246575343,0.6876712328767123,4.8232848232848236,10.976165421568483,19.228511048975523,-0.31998736577221765,0.4808219178082192,0.4986301369863014,0.6652806652806653,0.5707312747625213,0.5205083551610629,0.18164817064057937,0.6150684931506849,0.6520547945205479,0.498960498960499,0.9644392862075037,0.5372944483448014,-0.8663383526127373,0.23424657534246576,0.19452054794520549,0.16632016632016633,0.1728663120922037,0.28900859919446986,-0.022650349471548325,0.6136986301369863,0.6410958904109589,0.8316008316008316,1.7117717406857083,2.143284884661082,-0.4106644503416344,0.40136986301369865,0.40821917808219177,12.141372141372141,9.600467460611016,3.999466373790104,0.635310924830512,0.6424657534246575,0.7315068493150685,0.8316008316008316,1.6309385278244561,0.7776381987400253,-1.027904361589693,0.18082191780821918,0.1095890410958904,0.6652806652806653,0.42463003529708165,0.37308711479861606,0.6450253049170068,0.7136986301369863,0.8,0.0,1.3785938115357095,2.3983740173251062,-0.5748035133707994,0.20821917808219179,0.20821917808219179,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,1.6632016632016633,0.8112831118797657,1.4630799451597467,0.5822775126815649,0.8136986301369863,0.8027397260273973,1.1642411642411643,0.7482375268840392,0.6147316117070859,0.6767240035076431,0.7589041095890411,0.8164383561643835
7,Alamanda Motuga (Moana Pasifika),Alamanda Motuga,2,201,42,15,0,23,4,7,0,10,91,16,2,0,0,0,0,0,1,0,7,0,0,76.0,544.0,0.29411764705882354,0.2427437440645509,0.25023187612731074,0.20530519048714274,0.6315068493150685,0.6520547945205479,29.558823529411768,30.83415571275694,20.923911228263297,-0.060950945998207835,0.5917808219178082,0.5698630136986301,6.176470588235294,7.797377258368616,2.465986048720023,-0.6573056935884362,0.4301369863013699,0.2547945205479452,2.2058823529411766,1.4527150527643213,1.204645806789429,0.6252188783889638,0.7589041095890411,0.7972602739726027,0.0,0.3707740961064179,0.4041869143499797,-0.91733325088642,0.1589041095890411,0.1589041095890411,3.382352941176471,10.976165421568483,19.228511048975523,-0.39492462318327054,0.3821917808219178,0.26575342465753427,0.5882352941176471,0.5707312747625213,0.5205083551610629,0.03362870006132652,0.6150684931506849,0.6041095890410959,1.0294117647058822,0.9644392862075037,0.5372944483448014,0.12092527421143814,0.6082191780821918,0.6068493150684932,0.0,0.1728663120922037,0.28900859919446986,-0.5981355315171241,0.26164383561643834,0.26164383561643834,1.4705882352941178,1.7117717406857083,2.143284884661082,-0.11252984011489862,0.5780821917808219,0.5835616438356165,13.38235294117647,9.600467460611016,3.999466373790104,0.9455975190464072,0.7767123287671233,0.821917808219178,2.3529411764705883,1.6309385278244561,0.7776381987400253,0.9284557392061796,0.7753424657534247,0.8493150684931506,0.29411764705882354,0.42463003529708165,0.37308711479861606,-0.34981746370068484,0.4684931506849315,0.42054794520547945,0.0,1.3785938115357095,2.3983740173251062,-0.5748035133707994,0.20821917808219179,0.20821917808219179,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,0.14705882352941177,0.8112831118797657,1.4630799451597467,-0.45399042652985744,0.5821917808219178,0.5917808219178082,1.0294117647058822,0.7482375268840392,0.6147316117070859,0.45739349086186254,0.7589041095890411,0.7698630136986301
9,Alex Mafi (Melbourne Rebels),Alex Mafi,4,197,51,4,3,36,3,9,0,20,84,12,5,1,0,0,0,100,0,0,4,0,0,98.0,639.0,0.5007824726134585,0.2427437440645509,0.25023187612731074,1.0311984729620338,0.852054794520548,0.8602739726027397,24.663536776212833,30.83415571275694,20.923911228263297,-0.2949075280059995,0.5808219178082191,0.4547945205479452,6.384976525821596,7.797377258368616,2.465986048720023,-0.572752929109283,0.5273972602739726,0.3041095890410959,0.5007824726134585,1.4527150527643213,1.204645806789429,-0.7902178173748126,0.31643835616438354,0.23013698630136986,0.3755868544600939,0.3707740961064179,0.4041869143499797,0.011907259198175453,0.6657534246575343,0.6246575342465753,4.507042253521127,10.976165421568483,19.228511048975523,-0.3364339106429161,0.5534246575342465,0.46986301369863015,0.3755868544600939,0.5707312747625213,0.5205083551610629,-0.3749112158671173,0.5178082191780822,0.44931506849315067,1.1267605633802817,0.9644392862075037,0.5372944483448014,0.3021086066919689,0.7356164383561644,0.678082191780822,0.0,0.1728663120922037,0.28900859919446986,-0.5981355315171241,0.26164383561643834,0.26164383561643834,2.503912363067293,1.7117717406857083,2.143284884661082,0.36959184849887367,0.7849315068493151,0.7753424657534247,10.51643192488263,9.600467460611016,3.999466373790104,0.22902166905921448,0.7356164383561644,0.6109589041095891,1.5023474178403755,1.6309385278244561,0.7776381987400253,-0.16536110262128512,0.6013698630136987,0.5095890410958904,0.6259780907668232,0.42463003529708165,0.37308711479861606,0.539681075768121,0.8,0.7835616438356164,0.12519561815336464,1.3785938115357095,2.3983740173251062,-0.5226033072107131,0.4671232876712329,0.4438356164383562,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,12.519561815336465,0.9013587447007101,3.143367259327104,3.696101063648174,0.9835616438356164,0.9698630136986301,0.0,0.8112831118797657,1.4630799451597467,-0.5545036103896466,0.2534246575342466,0.2534246575342466,0.5007824726134585,0.7482375268840392,0.6147316117070859,-0.4025416125639083,0.4958904109589041,0.4054794520547945
10,Alex McRobbie (Moana Pasifika),Alex McRobbie,0,40,16,1,0,15,1,3,0,0,41,9,1,0,0,0,0,0,17,0,5,0,0,53.0,340.0,0.0,0.2427437440645509,0.25023187612731074,-0.9700752271107536,0.16164383561643836,0.16164383561643836,9.411764705882353,30.83415571275694,20.923911228263297,-1.0238234512263633,0.136986301369863,0.14246575342465753,3.764705882352941,7.797377258368616,2.465986048720023,-1.6353180011333983,0.0863013698630137,0.052054794520547946,0.23529411764705882,1.4527150527643213,1.204645806789429,-1.010604883407083,0.10684931506849316,0.10684931506849316,0.0,0.3707740961064179,0.4041869143499797,-0.91733325088642,0.1589041095890411,0.1589041095890411,3.5294117647058827,10.976165421568483,19.228511048975523,-0.3872766662949369,0.22602739726027396,0.29315068493150687,0.23529411764705882,0.5707312747625213,0.5205083551610629,-0.6444414461160126,0.2547945205479452,0.30684931506849317,0.7058823529411764,0.9644392862075037,0.5372944483448014,-0.48122018394726074,0.23424657534246576,0.33424657534246577,0.0,0.1728663120922037,0.28900859919446986,-0.5981355315171241,0.26164383561643834,0.26164383561643834,0.0,1.7117717406857083,2.143284884661082,-0.7986673880529843,0.14794520547945206,0.14794520547945206,9.647058823529411,9.600467460611016,3.999466373790104,0.011649394835202163,0.3219178082191781,0.5041095890410959,2.1176470588235294,1.6309385278244561,0.7776381987400253,0.6258804310123485,0.436986301369863,0.7945205479452054,0.23529411764705882,0.42463003529708165,0.37308711479861606,-0.5074844724997325,0.27123287671232876,0.33972602739726027,0.0,1.3785938115357095,2.3983740173251062,-0.5748035133707994,0.20821917808219179,0.20821917808219179,0.0,0.15927414486053937,0.5726855168389288,-0.27811799002651605,0.4506849315068493,0.4506849315068493,0.0,0.0596508815975086,0.2462594364919304,-0.2422278002713747,0.46164383561643835,0.46164383561643835,0.0,0.00018402861644985794,0.0035158617806227642,-0.052342392259021334,0.5,0.5,0.0,0.9013587447007101,3.143367259327104,-0.2867494219856647,0.40136986301369865,0.40136986301369865,4.0,0.8112831118797657,1.4630799451597467,2.179454990596617,0.8684931506849315,0.9561643835616438,1.1764705882352942,0.7482375268840392,0.6147316117070859,0.6966179275571469,0.5904109589041096,0.8191780821917808
