,Unnamed: 0,Player Name,Fixture,Starting Position,Team,Sub Off Time,Second Sub Off Time,Sub On Time,Yellow Card Time,Red Card Time,Starting State,Yellow Card Check,Minutes Played Raw,Minutes Played Total,Round,Round N,Player Team
0,0,Tom Wright,ACT Brumbies 33 17 Melbourne Rebels,15,ACT Brumbies,,,,,,Starter,No Yellow Card,80.0,80.0,round15,15.0,Tom Wright (ACT Brumbies)
1,1,Andy Muirhead,ACT Brumbies 33 17 Melbourne Rebels,14,ACT Brumbies,,,,,,Starter,No Yellow Card,80.0,80.0,round15,15.0,Andy Muirhead (ACT Brumbies)
2,2,Len Ikitau,ACT Brumbies 33 17 Melbourne Rebels,13,ACT Brumbies,75.0,,,,,Starter,No Yellow Card,75.0,75.0,round15,15.0,Len Ikitau (ACT Brumbies)
3,3,Ollie Sapsford,ACT Brumbies 33 17 Melbourne Rebels,12,ACT Brumbies,,,,,,Starter,No Yellow Card,80.0,80.0,round15,15.0,Ollie Sapsford (ACT Brumbies)
4,4,Corey Toole,ACT Brumbies 33 17 Melbourne Rebels,11,ACT Brumbies,61.0,,,,,Starter,No Yellow Card,61.0,61.0,round15,15.0,Corey Toole (ACT Brumbies)
5,5,Jack Debreczeni,ACT Brumbies 33 17 Melbourne Rebels,10,ACT Brumbies,,,,,,Starter,No Yellow Card,80.0,80.0,round15,15.0,Jack Debreczeni (ACT Brumbies)
6,6,Nic White,ACT Brumbies 33 17 Melbourne Rebels,9,ACT Brumbies,61.0,,,,,Starter,No Yellow Card,61.0,61.0,round15,15.0,Nic White (ACT Brumbies)
7,7,Rob Valetini,ACT Brumbies 33 17 Melbourne Rebels,8,ACT Brumbies,,,,,,Starter,No Yellow Card,80.0,80.0,round15,15.0,Rob Valetini (ACT Brumbies)
8,8,Jahrome Brown,ACT Brumbies 33 17 Melbourne Rebels,7,ACT Brumbies,57.0,,,,,Starter,No Yellow Card,57.0,57.0,round15,15.0,Jahrome Brown (ACT Brumbies)
9,9,Tom Hooper,ACT Brumbies 33 17 Melbourne Rebels,6,ACT Brumbies,,,,,,Starter,No Yellow Card,80.0,80.0,round15,15.0,Tom Hooper (ACT Brumbies)
10,10,Cadeyrn Neville,ACT Brumbies 33 17 Melbourne Rebels,5,ACT Brumbies,41.0,,,,,Starter,No Yellow Card,41.0,41.0,round15,15.0,Cadeyrn Neville (ACT Brumbies)
11,11,Nick Frost,ACT Brumbies 33 17 Melbourne Rebels,4,ACT Brumbies,,,,,,Starter,No Yellow Card,80.0,80.0,round15,15.0,Nick Frost (ACT Brumbies)
12,12,Sefo Kautai,ACT Brumbies 33 17 Melbourne Rebels,3,ACT Brumbies,45.0,,,,,Starter,No Yellow Card,45.0,45.0,round15,15.0,Sefo Kautai (ACT Brumbies)
13,13,Connal McInerney,ACT Brumbies 33 17 Melbourne Rebels,2,ACT Brumbies,45.0,,,,,Starter,No Yellow Card,45.0,45.0,round15,15.0,Connal McInerney (ACT Brumbies)
14,14,Fred Kaihea,ACT Brumbies 33 17 Melbourne Rebels,1,ACT Brumbies,40.0,,,,,Starter,No Yellow Card,40.0,40.0,round15,15.0,Fred Kaihea (ACT Brumbies)
15,15,Billy Pollard,ACT Brumbies 33 17 Melbourne Rebels,16,ACT Brumbies,,,45.0,,,Bench,No Yellow Card,35.0,35.0,round15,15.0,Billy Pollard (ACT Brumbies)
16,16,Blake Schoupp,ACT Brumbies 33 17 Melbourne Rebels,17,ACT Brumbies,,,40.0,,,Bench,No Yellow Card,40.0,40.0,round15,15.0,Blake Schoupp (ACT Brumbies)
17,17,Rhys Van Nek,ACT Brumbies 33 17 Melbourne Rebels,18,ACT Brumbies,,,45.0,,,Bench,No Yellow Card,35.0,35.0,round15,15.0,Rhys Van Nek (ACT Brumbies)
18,18,Pete Samu,ACT Brumbies 33 17 Melbourne Rebels,19,ACT Brumbies,,,41.0,,,Bench,No Yellow Card,39.0,39.0,round15,15.0,Pete Samu (ACT Brumbies)
19,19,Luke Reimer,ACT Brumbies 33 17 Melbourne Rebels,20,ACT Brumbies,,,57.0,,,Bench,No Yellow Card,23.0,23.0,round15,15.0,Luke Reimer (ACT Brumbies)
20,20,Ryan Lonergan,ACT Brumbies 33 17 Melbourne Rebels,21,ACT Brumbies,,,61.0,,,Bench,No Yellow Card,19.0,19.0,round15,15.0,Ryan Lonergan (ACT Brumbies)
21,21,Tamati Tua,ACT Brumbies 33 17 Melbourne Rebels,22,ACT Brumbies,,,75.0,,,Bench,No Yellow Card,5.0,5.0,round15,15.0,Tamati Tua (ACT Brumbies)
22,22,Jesse Mogg,ACT Brumbies 33 17 Melbourne Rebels,23,ACT Brumbies,,,61.0,,,Bench,No Yellow Card,19.0,19.0,round15,15.0,Jesse Mogg (ACT Brumbies)
23,23,Andrew Kellaway,ACT Brumbies 33 17 Melbourne Rebels,15,Melbourne Rebels,32.0,,,,,Starter,No Yellow Card,32.0,32.0,round15,15.0,Andrew Kellaway (Melbourne Rebels)
24,24,Lachie Anderson,ACT Brumbies 33 17 Melbourne Rebels,14,Melbourne Rebels,,,,,,Starter,No Yellow Card,80.0,80.0,round15,15.0,Lachie Anderson (Melbourne Rebels)
